hosts,refFamilyCount,company,country,parent_id
upload.iqiyi.com,36,Alibaba,CN,NA
api.greedygame.com,35,unknown,NA,NA
bluepin.nowcdn.co.kr,35,unknown,NA,NA
cdn.bluepin.co.kr,35,unknown,NA,NA
highway2.soom.la,35,unknown,NA,NA
services.soom.la,35,unknown,NA,NA
decide.mixpanel.com,34,unknown,NA,NA
rpc.tapjoy.com,34,unknown,NA,NA
sdk-logs.matomy.com,34,unknown,NA,NA
api.bluepin.co.kr,33,unknown,NA,NA
api.smartkids.uangel.com,33,unknown,NA,NA
badad.googleplex.com,33,unknown,NA,NA
kidsworldshop.co.kr,33,unknown,NA,NA
pushapi.localytics.com,33,Localytics,UK,
support.localytics.com,33,Localytics,UK,
ads.nexage.com,32,Nexage,US,
cvt.mydas.mobi,32,Millennialmedia,,
parse.com,32,unknown,NA,NA
www.startapp.com,32,unknown,NA,NA
beta-pic.babybus.co,31,unknown,NA,NA
data.adbuddiz.com,31,Adbuddiz,FR,
dev.tapjoy.com,31,unknown,NA,NA
babytest.babybus.co,30,unknown,NA,NA
init.startappservice.com,30,unknown,NA,NA
api.linkedin.com,29,LinkedIn,US,NA
api.weibo.com,29,Weibo,CN,Sina
foursquare.com,29,Foursquare,US,
purl.org,29,unknown,NA,NA
schemas.xmlsoap.org,29,unknown,NA,NA
syndication.twitter.com,29,Twitter,US,NA
weibo.com,29,Weibo,CN,Sina
api.login.yahoo.com,28,Yahoo,US,Oath
java.sun.com,28,unknown,NA,NA
vimeo.com,28,Vimeo,US,IAC
www.yammer.com,28,unknown,NA,NA
oauth.live.com,27,Microsoft,US,NA
sandbox.evernote.com,27,unknown,NA,NA
static.pushwoosh.com,27,unknown,NA,NA
www.evernote.com,27,unknown,NA,NA
adelh.smaato.com,26,unknown,NA,NA
api.crispwireless.com,26,unknown,NA,NA
api.dropbox.com,26,unknown,NA,NA
api.share.mob.com,26,unknown,NA,NA
cdn1.crispadvertising.com,26,unknown,NA,NA
crashlytics.com,26,unknown,NA,NA
i.xx.openx.com,26,OpenX,US,NA
l.mob.com,26,unknown,NA,NA
open.weibo.cn,26,unknown,NA,NA
placements.tapjoy.com,26,unknown,NA,NA
relay.mobile.toboads.com,26,unknown,NA,NA
up.sharesdk.cn,26,unknown,NA,NA
www.dropbox.com,26,unknown,NA,NA
www.forumvs.com,26,unknown,NA,NA
127.0.0.1,25,unknown,NA,NA
adlic.rjfun.com,25,unknown,NA,NA
alogus.umeng.com,25,unknown,NA,NA
api.exc.mob.com,25,unknown,NA,NA
api.kaixin001.com,25,unknown,NA,NA
api.t.163.com,25,NetEase,CN,NA
api.t.sina.com.cn,25,Sina,CN,NA
api.t.sohu.com,25,Sohu,CN,NA
api.vkontakte.ru,25,unknown,NA,NA
api.weixin.qq.com,25,Tencent,CN,NA
BuildConfig.java,25,unknown,NA,NA
c.data.mob.com,25,unknown,NA,NA
devs.data.mob.com,25,unknown,NA,NA
id.sapo.pt,25,unknown,NA,NA
imp.startappservice.com,25,unknown,NA,NA
m.data.mob.com,25,unknown,NA,NA
oauth.constantcontact.com,25,unknown,NA,NA
open.t.qq.com,25,Tencent,CN,NA
openapi.lovefilm.com,25,unknown,NA,NA
www.daisy.org,25,unknown,NA,NA
www.digits.com,25,unknown,NA,NA
www.lovefilm.com,25,unknown,NA,NA
www.plurk.com,25,unknown,NA,NA
www.smaato.com,25,unknown,NA,NA
www.teachersparadise.com,25,unknown,NA,NA
graph.qq.com,24,Tencent,CN,NA
openmobile.qq.com,24,Tencent,CN,NA
pay.anysdk.com,24,unknown,NA,NA
sim.qudao.info,24,unknown,NA,NA
www.idpf.org,24,unknown,NA,NA
android.intent.action.VI,23,unknown,NA,NA
androidads20staging.adcolony.com,23,Adcolony,US,Opera
api.upcdatabase.org,23,unknown,NA,NA
feedback.umeng.com,23,unknown,NA,NA
invalid.se,23,unknown,NA,NA
muneris-test.so1.outblaze.net,23,unknown,NA,NA
net.cleverjp.com,23,unknown,NA,NA
wap.wirelessgz.cn,23,unknown,NA,NA
www.myapp.com,23,unknown,NA,NA
api.disney.com,22,unknown,NA,NA
gate.hockeyapp.net,22,unknown,NA,NA
s3-us-west-2.amazonaws.com,22,Amazon Web Services,US,Amazon
www.libii.com,22,unknown,NA,NA
