hosts,numApps,pctOfApps,company,country,root_parent,leaf_parent
mads.amazon-adsystem.com,232,2.6,Amazon,US,Amazon,Amazon
pubads.g.doubleclick.net,226,2.53,Doubleclick,US,Alphabet,Alphabet
www.googleadservices.com,226,2.53,Google,US,Alphabet,Alphabet
app.adjust.com,224,2.51,Adjust,NA,Adjust,Adjust
dwxjayoxbnyrr.cloudfront.net,219,2.45,Amazon Web Services,US,Amazon,Amazon
admin.appnext.com,218,2.44,Appnext,NA,Appnext,Appnext
cdn.unityads.unity3d.com,217,2.43,Unitytechnologies,NA,Unitytechnologies,Unitytechnologies
www.appnext.com,216,2.42,Appnext,NA,Appnext,Appnext
appnext.hs.llnwd.net,212,2.37,Limelight Networks,NA,Limelight Networks,Limelight Networks
inmobisdk-a.akamaihd.net,207,2.32,Akamai,US,Akamai,Akamai
