hosts,refCount,company,type,jurisdiction
ms.cmcm.com,3057,Cheetahmobile,advertising,china
cdn.millennialmedia.com,2947,Millennialmedia,advertising,
open.t.qq.com,2942,Tencent,advertising,china
*.urbanairship.com,2939,Urbanairship,advertising,us
iframe.sponsorpay.com,2927,Fyber,advertising,us
api.sponsorpay.com,2905,Fyber,advertising,us
service.sponsorpay.com,2901,Fyber,advertising,us
api.t.sina.com.cn,2731,Sina,advertising,cn
global.appnext.com,2549,Appnext,advertising,uk
p.adsymptotic.com,2530,Drawbridge Inc,advertising,us
analytics.query.yahoo.com,2522,Yahoo,app,us
analytics.query.yahoo.com,2522,Yahoo-Usage,analytics,us
engine.sponsorpay.com,2445,Fyber,advertising,us
api.foursquare.com,2441,Foursquare,advertising,us
sdktm.w.inmobi.com,2366,Inmobi,advertising,singapore
helpbeautify0.ksmobile.com,2322,Cheetahmobile,advertising,china
helpbeautify1.ksmobile.com,2322,Cheetahmobile,advertising,china
uop.umeng.com,2306,Umeng,analytics,china
monitorsdk.appsflyer.com,2205,Appsflyer,advertising,us
api.branch.io,2083,Branch,advertising,us
www.MillennialMedia.com,2063,Millennialmedia,advertising,
theme.cmcm.com,2029,Cheetahmobile,advertising,china
data.adbuddiz.com,2016,Adbuddiz,advertising,france
gate.hockeyapp.net,2009,Bitstadium,analytics,germany
sdk.adbuddiz.com,1983,Adbuddiz,advertising,france
boxoffice.urbanairship.com,1876,Urbanairship,advertising,us
api.crittercism.com,1847,Apteligent,analytics,us
bnc.lt,1808,Branch,advertising,us
ox.appnext.com,1734,Appnext,advertising,uk
lp.mydas.mobi,1659,Millennialmedia,advertising,
ads.nexage.com,1646,Nexage,advertising,us
pingma.qq.com,1560,Tencent,advertising,china
pegasus.cmcm.com,1558,Cheetahmobile,advertising,china
rqd.uu.qq.com,1553,Tencent,advertising,china
android.bugly.qq.com,1516,Tencent,advertising,china
validate.appsflyer.com,1510,Appsflyer,advertising,us
account.mobfox.com,1458,Mobfox,advertising,austria
yandex.ru,1454,Yandex,analytics,ru
test.urbanairship.com,1418,Urbanairship,advertising,us
spapi.i-mobile.co.jp,1384,I-Mobile,advertising,jp
mobile-static.adsafeprotected.com,1357,Integral Ad Science,advertising,us
appgalleries.inmobi.com,1334,Inmobi,advertising,singapore
mm.admob.com,1266,Admob,advertising,us
r.admob.com,1265,Admob,advertising,us
api.admob.com,1254,Admob,advertising,us
mta.qq.com,1249,Tencent,advertising,china
api.weixin.qq.com,1238,Tencent,advertising,china
openmobile.qq.com,1224,Tencent,advertising,china
analytics.localytics.com,1148,Localytics,advertising,uk
