country,n,pctOfApps
US,861259,89.77
,58032,6.05
CN,37728,3.93
FI,31814,3.32
DE,24773,2.58
RU,23045,2.4
SG,19284,2.01
UK,18809,1.96
AT,4754,0.5
FR,4199,0.44
KR,3504,0.37
JP,1797,0.19
PL,132,0.01
DK,77,0.01
NO,53,0.01
CA,49,0.01
IN,29,0
SE,29,0
NL,22,0
RO,21,0
IE,18,0
IT,18,0
ES,6,0
?,3,0
AU,3,0
TW,3,0
