country,n,pctOfApps
US,865369,90.2
CN,48451,5.05
NO,30674,3.2
RU,24889,2.59
DE,24773,2.58
SG,19323,2.01
UK,14451,1.51
AT,4754,0.5
KR,3366,0.35
JP,1801,0.19
PL,132,0.01
DK,77,0.01
CA,53,0.01
FR,41,0
IN,29,0
SE,29,0
IL,23,0
NL,22,0
RO,21,0
IE,18,0
IT,18,0
ES,6,0
AU,3,0
CR,3,0
TW,3,0
