hosts,refCount,propOfApps
vps30164.vps.ovh.ca,4140,0.00431508005828485
api.digits.com,4125,0.004299445710247585
track.atom-data.io,4049,0.004220231680192115
staging.biznessapps.com,4033,0.0042035550422856996
www.aiim.org,4004,0.004173328636080323
placements.tapjoy.com,3989,0.004157694288043059
dev.tapjoy.com,3984,0.004152482838697304
api.intercom.io,3982,0.004150398258959002
www.instagram.com,3928,0.004094114606024852
www.yammer.com,3864,0.004027408054399193
api.appcelerator.com,3812,0.003973208981203345
chat.good-api.net,3765,0.003924221357353251
analytics.lb.mobileapphelper.com,3714,0.0038710645740265533
a.applvn.com,3696,0.0038523033563818364
d.applvn.com,3696,0.0038523033563818364
rt.applvn.com,3696,0.0038523033563818364
www.last.fm,3692,0.003848134196905233
ak-ns.sascdn.com,3684,0.0038397958779520253
www.ngs.ac.uk,3669,0.0038241615299147613
tile.openstreetmap.org,3606,0.003758497268158253
post.audioscrobbler.com,3596,0.0037480743694667438
storage.conduit.com,3520,0.003668860339411273
chartboo.st,3512,0.0036605220204580656
app.indiapay.com,3504,0.003652183701504858
localhost,3390,0.0035333626564216522
api.fyber.com,3387,0.0035302357868141994
service.fyber.com,3375,0.0035177283083843883
thx.swelen.com,3315,0.0034551909162353323
my.image.se,3313,0.0034531063364970304
robocop.oneaudience.com,3308,0.003447894887151276
content-js.tapjoy.com,3262,0.003399949553170333
adc3-launch-server-staging.herokuapp.com,3223,0.003359300248273447
alog.umengcloud.com,3166,0.003299889725731844
api.oneaudience.com,3165,0.003298847435862693
www.evernote.com,3143,0.0032759170587413726
offer.fyber.com,3139,0.0032717478992647687
cmnsguider.yunos.com,3112,0.0032436060727976937
iap.samsungapps.com,3092,0.003222760275414675
www.bouncycastle.org,3051,0.0031800263907794868
sandbox.evernote.com,3040,0.0031685612022188266
sstats.paypal-metrics.com,2951,0.003075797403864394
www.inkscape.org,2947,0.0030716282443877902
sodipodi.sourceforge.net,2943,0.0030674590849111864
www.stage2mb101.paypal.com,2920,0.003043486417920715
ads.yemonisoni.com,2907,0.003029936649621753
assets.braintreegateway.com,2873,0.0029944987940706213
api.dropbox.com,2864,0.002985118185248263
www.wapforum.org,2844,0.0029642723878652443
biznessapps.com,2809,0.002927792242444962
www.topografix.com,2798,0.0029163270538843018
appload.ing,2796,0.002914242474146
txn.ing,2796,0.002914242474146
bugsense.appspot.com,2787,0.0029048618653236416
api.openweathermap.org,2785,0.0029027772855853397
p.univide.com,2770,0.0028871429375480757
annox.dev.java.net,2769,0.0028861006476789248
w3.org,2760,0.002876720038856566
config-alpha.yvolver.com,2746,0.002862127980688453
config-dev.yvolver.com,2746,0.002862127980688453
config-prod.yvolver.com,2746,0.002862127980688453
config-staging.yvolver.com,2746,0.002862127980688453
config-swap.yvolver.com,2746,0.002862127980688453
api.appnxt.net,2736,0.002851705081996944
jabber.org,2731,0.0028464936326511895
vvv.peypel.cu,2686,0.0027995905885393976
card.io,2668,0.0027808293708946807
api.card.io,2666,0.002778744791156379
api.kaixin001.com,2664,0.002776660211418077
api.sandbox.braintreegateway.com,2648,0.0027599835735116623
api.braintreegateway.com,2647,0.0027589412836425114
www.plurk.com,2637,0.0027485183849510018
www.yvolver.com,2605,0.0027151651091381723
iptc.org,2592,0.0027016153408392102
api.vkontakte.ru,2589,0.0026984884712317574
www.coinbase.com,2588,0.0026974461813626064
oauth.constantcontact.com,2587,0.0026964038914934554
www.lovefilm.com,2583,0.0026922347320168516
openapi.lovefilm.com,2582,0.0026911924421477006
twitpic.com,2581,0.0026901501522785497
sandbox.coinbase.com,2571,0.0026797272535870405
developers.braintreepayments.com,2565,0.002673473514372135
yixia.com,2565,0.002673473514372135
secure.payu.in,2527,0.0026338664993443995
yfrog.com,2515,0.0026213590209145884
www.color.org,2514,0.0026203167310454374
id.sapo.pt,2513,0.0026192744411762865
creativecommons.org,2506,0.00261197841209223
auth.firebase.com,2500,0.0026057246728773244
www.openstreetmap.org,2495,0.00260051322353157
img.ly,2490,0.0025953017741858152
www.npes.org,2479,0.002583836585625155
a.tile.cloudmade.com,2472,0.0025765405565410984
b.tile.cloudmade.com,2470,0.002574455976802797
c.tile.cloudmade.com,2465,0.002569244527457042
overlay.openstreetmap.nl,2462,0.002566117657849589
docs.coronalabs.com,2451,0.002554652469288929
dmp.starbolt.io,2423,0.002525468352952703
www.emoticonswallpapers.com,2407,0.002508791715046288
tah.openstreetmap.org,2389,0.002490030497401571
assets.qa.braintreegateway.com,2385,0.0024858613379249678
b.tile.opencyclemap.org,2371,0.0024712692797568547
raw.githubusercontent.com,2364,0.002463973250672798
a.tile.opencyclemap.org,2345,0.0024441697431589306
