country,numAppsReferring,pctOfApps
US,227987,85.94
CN,7579,2.86
RU,4964,1.87
DE,3705,1.4
UK,2949,1.11
SG,2848,1.07
FI,817,0.31
KR,830,0.31
AT,748,0.28
FR,684,0.26
JP,271,0.1
DK,27,0.01
IT,15,0.01
SE,18,0.01
?,2,0
CA,2,0
ES,1,0
IE,7,0
IN,9,0
NL,4,0
PL,11,0
TW,2,0
