country,numAppsReferring,pctOfApps
US,267386,91.59
FI,25800,8.84
CN,13507,4.63
DE,12445,4.26
SG,9937,3.4
RU,7316,2.51
UK,4810,1.65
FR,2645,0.91
KR,1434,0.49
JP,1240,0.42
AT,1097,0.38
DK,18,0.01
PL,43,0.01
AU,2,0
CA,1,0
ES,4,0
IE,5,0
IN,6,0
NL,6,0
NO,7,0
RO,8,0
SE,3,0
