country,numAppsReferring,pctOfApps
US,34108,86.05
CN,1603,4.04
RU,1000,2.52
UK,928,2.34
SG,881,2.22
DE,353,0.89
KR,271,0.68
FI,187,0.47
AT,170,0.43
FR,105,0.26
JP,20,0.05
PL,8,0.02
DK,2,0.01
?,1,0
