country,numAppsReferring,pctOfApps
US,24468,93.1
UK,1136,4.32
SG,811,3.09
CN,581,2.21
AT,471,1.79
RU,387,1.47
DE,324,1.23
FI,71,0.27
KR,58,0.22
PL,52,0.2
NO,43,0.16
FR,31,0.12
JP,28,0.11
CA,18,0.07
NL,8,0.03
DK,4,0.02
IE,2,0.01
RO,3,0.01
SE,2,0.01
AU,1,0
IT,1,0
