country,numAppsReferring,pctOfApps
US,26544,96.2
UK,1676,6.07
CN,1026,3.72
FI,851,3.08
DE,661,2.4
RU,262,0.95
SG,186,0.67
AT,75,0.27
JP,38,0.14
KR,39,0.14
FR,22,0.08
