country,numAppsReferring,pctOfApps
US,69924,87.7
RU,1818,2.28
CN,1308,1.64
KR,25,0.03
DE,5,0.01
DK,1,0
ES,1,0
FR,1,0
NL,2,0
PL,2,0
SE,1,0
