leaf_parent,n.x,pctOfApps.x,company,n.y,pctOfApps.y,country
Golden Gate Capital,2,2.0845797383018595e-4,Neustar,2,2.0845797383018595e-4,US
Iperceptions,2,2.0845797383018595e-4,Iperceptions,2,2.0845797383018595e-4,US
Richrelevance,2,2.0845797383018595e-4,Richrelevance,2,2.0845797383018595e-4,US
Wisecode,2,2.0845797383018595e-4,Histats,2,2.0845797383018595e-4,IT
33Across,1,1.0422898691509298e-4,33Across,1,1.0422898691509298e-4,US
Acxiom,1,1.0422898691509298e-4,Liveramp,1,1.0422898691509298e-4,US
Adelphic Inc,1,1.0422898691509298e-4,Adelphic Inc,1,1.0422898691509298e-4,US
Admaxim,1,1.0422898691509298e-4,Admaxim,1,1.0422898691509298e-4,US
Adsocial,1,1.0422898691509298e-4,Adsocial,1,1.0422898691509298e-4,CN
All Yes,1,1.0422898691509298e-4,All Yes,1,1.0422898691509298e-4,CN
China Interactive,1,1.0422898691509298e-4,China Interactive,1,1.0422898691509298e-4,CN
Deep Forest Media,1,1.0422898691509298e-4,Deep Forest Media,1,1.0422898691509298e-4,US
Health Grades,1,1.0422898691509298e-4,Health Grades,1,1.0422898691509298e-4,US
HiMedia Group,1,1.0422898691509298e-4,Sedo,1,1.0422898691509298e-4,DE
Innovid,1,1.0422898691509298e-4,Innovid,1,1.0422898691509298e-4,US
Ipinyou,1,1.0422898691509298e-4,Ipinyou,1,1.0422898691509298e-4,CN
Kantar,1,1.0422898691509298e-4,Kantar,1,1.0422898691509298e-4,UK
Lotame,1,1.0422898691509298e-4,Lotame,1,1.0422898691509298e-4,US
Monotype Imaging,1,1.0422898691509298e-4,Monotype Imaging,1,1.0422898691509298e-4,US
Mxdata,1,1.0422898691509298e-4,Mxdata,1,1.0422898691509298e-4,UK
Netseer,1,1.0422898691509298e-4,Netseer,1,1.0422898691509298e-4,US
Nugg.ad,1,1.0422898691509298e-4,Nugg.ad,1,1.0422898691509298e-4,DE
Perion,1,1.0422898691509298e-4,Perion,1,1.0422898691509298e-4,US
Popcap,1,1.0422898691509298e-4,Popcap,1,1.0422898691509298e-4,US
Publicis Groupe,1,1.0422898691509298e-4,Publicis Groupe,1,1.0422898691509298e-4,FR
Pubmatic,1,1.0422898691509298e-4,Pubmatic,1,1.0422898691509298e-4,US
Signal Digital,1,1.0422898691509298e-4,Signal Digital,1,1.0422898691509298e-4,US
Skimlinks,1,1.0422898691509298e-4,Skimlinks,1,1.0422898691509298e-4,UK
Sovrn,1,1.0422898691509298e-4,Sovrn,1,1.0422898691509298e-4,US
Suning Corporation,1,1.0422898691509298e-4,Suning Corporation,1,1.0422898691509298e-4,CN
Tapad,1,1.0422898691509298e-4,Tapad,1,1.0422898691509298e-4,US
Tout,1,1.0422898691509298e-4,Tout,1,1.0422898691509298e-4,US
Triplelift,1,1.0422898691509298e-4,Triplelift,1,1.0422898691509298e-4,US
Trusted Shops,1,1.0422898691509298e-4,Trusted Shops,1,1.0422898691509298e-4,DE
Vimov,1,1.0422898691509298e-4,Vimov,1,1.0422898691509298e-4,US
Webtrekk,1,1.0422898691509298e-4,Webtrekk,1,1.0422898691509298e-4,DE
WPP,1,1.0422898691509298e-4,Plista,1,1.0422898691509298e-4,DE
