leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.9173927932727065,Google,0.9073855637152315,US
Alphabet,0.9173927932727065,Google Apis,0.7414101442106464,US
Alphabet,0.9173927932727065,Doubleclick,0.6344507438834138,US
Alphabet,0.9173927932727065,Google Analytics,0.5255507781286861,US
Alphabet,0.9173927932727065,Google Tag Manager,0.45492941668886266,US
Alphabet,0.9173927932727065,Adsense,0.3278033560366805,US
Alphabet,0.9173927932727065,Youtube,0.2769301015943077,US
Alphabet,0.9173927932727065,Firebase,0.23153609071192116,US
Alphabet,0.9173927932727065,Admob,0.1162817244397093,US
Alphabet,0.9173927932727065,Blogger,0.006049998097484875,US
Facebook,0.5468589475286328,Facebook,0.5468589475286328,US
Facebook,0.5468589475286328,Liverail,0.007762261709980595,US
Facebook,0.5468589475286328,Lifestreet,1.1415090749971463e-4,US
Twitter,0.5056885202237358,Twitter,0.46858947528632855,US
Twitter,0.5056885202237358,Crashlytics,0.08865720482477836,US
Twitter,0.5056885202237358,Mopub,0.0804763897872988,US
Verizon,0.3950762908565123,Yahoo,0.3263193942391842,US
Verizon,0.3950762908565123,Flurry,0.14664586583463338,US
Verizon,0.3950762908565123,Tumblr,0.07819337163730451,US
Verizon,0.3950762908565123,Flickr,0.02176477302994559,US
Verizon,0.3950762908565123,Millennialmedia,0.019329553669951677,US
Verizon,0.3950762908565123,Aol,0.001255659982496861,US
Verizon,0.3950762908565123,Verizon,5.327042349986683e-4,US
Verizon,0.3950762908565123,Gravity Insights,3.8050302499904876e-5,US
Verizon,0.3950762908565123,Intowow,3.8050302499904876e-5,US
Verizon,0.3950762908565123,One By Aol,3.8050302499904876e-5,US
Microsoft,0.31125147444922185,Microsoft,0.3098055629542255,US
Microsoft,0.31125147444922185,Bing,0.002092766637494768,US
Linkedin,0.28674707963928314,Linkedin,0.28674707963928314,US
Amazon,0.1999162893345002,Amazon,0.129599330314676,US
Amazon,0.1999162893345002,Amazon Web Services,0.10125185495224687,US
Amazon,0.1999162893345002,Amazon Marketing Services,0.009512575624976219,US
Amazon,0.1999162893345002,Alexa,3.8050302499904876e-5,US
Zeta Global,0.09478330352726304,Disqus,0.09478330352726304,US
Mapbox,0.06575092271983562,Mapbox,0.06575092271983562,US
comScore,0.044290552109889275,Scorecardresearch,0.044290552109889275,US
comScore,0.044290552109889275,Voicefive,0.007914462919980214,US
Adobe Systems,0.04002891822989993,Adobe Systems,0.03565313344241087,US
Adobe Systems,0.04002891822989993,Adobe Marketing Cloud,0.004223583577489441,US
Adobe Systems,0.04002891822989993,Livefyre,1.1415090749971463e-4,US
Adobe Systems,0.04002891822989993,Adobe Audience Manager,7.610060499980975e-5,US
Adobe Systems,0.04002891822989993,Typekit,3.8050302499904876e-5,US
Inmobi,0.030858795327422854,Inmobi,0.030858795327422854,SG
Opera,0.02800502263992999,Adcolony,0.016513831284958716,US
Opera,0.02800502263992999,Admarvel,0.011719493169970702,US
IAC,0.027662569917430845,Vimeo,0.02739621779993151,US
IAC,0.027662569917430845,About.com,3.04402419999239e-4,US
IAC,0.027662569917430845,Ask.com,3.04402419999239e-4,US
IAC,0.027662569917430845,Dictionary.com,3.8050302499904876e-5,US
Akamai,0.02754841900993113,Akamai,0.02754841900993113,US
Apple,0.02716791598493208,Apple,0.02716791598493208,US
Appsflyer,0.02629275902743427,Appsflyer,0.02629275902743427,US
Smart Ad Server,0.024009740877439976,Smart Ad Server,0.024009740877439976,US
Urbanairship,0.023058483314942355,Urbanairship,0.023058483314942355,US
Pinterest,0.02271603059244321,Pinterest,0.02271603059244321,US
Mobfox,0.017921692477455196,Mobfox,0.017921692477455196,AT
Spearhead Integrated Marketing Communication ,0.017122636124957194,Smaato,0.017122636124957194,US
Chartboost,0.014687416764963282,Chartboost,0.014687416764963282,US
Automattic,0.014040561622464899,Wordpress,0.0124804992199688,US
Automattic,0.014040561622464899,Gravatar,0.0017883642174955292,US
Automattic,0.014040561622464899,Automattic,7.610060499980975e-5,US
Brightcove,0.01358395799246604,Brightcove,0.01358395799246604,US
Applovin,0.013051253757467372,Applovin,0.013051253757467372,US
Cloudflare,0.012746851337468133,Cloudflare,0.012746851337468133,US
Yandex,0.012366348312469085,Yandex,0.012290247707469275,RU
Yandex,0.012366348312469085,Adfox,1.1415090749971463e-4,RU
Oracle,0.011871694379970321,Moat,0.005250941744986873,US
Oracle,0.011871694379970321,Oracle,0.0038050302499904876,US
Oracle,0.011871694379970321,Addthis,0.0019405654274951487,US
Oracle,0.011871694379970321,Blue Kai,9.512575624976219e-4,US
Alibaba,0.011681442867470797,Alibaba,0.009588676229976029,CN
Alibaba,0.011681442867470797,Umeng,0.0031581751074921047,CN
Baidu,0.010958487119972604,Baidu,0.010958487119972604,CN
New Relic,0.009664776834975838,New Relic,0.009664776834975838,US
International Business Machines,0.009588676229976029,The Weather Company,0.005821696282485446,US
International Business Machines,0.009588676229976029,International Business Machines,0.0029679235949925803,US
International Business Machines,0.009588676229976029,Weather Underground,0.0014078611924964804,US
Pushwoosh,0.008599368364978502,Pushwoosh,0.008599368364978502,US
Appnext,0.008294965944979263,Appnext,0.008294965944979263,UK
Gigya,0.007914462919980214,Gigya,0.007914462919980214,US
Mixpanel,0.00764811080248088,Mixpanel,0.00764811080248088,US
Localytics,0.007533959894981165,Localytics,0.007533959894981165,UK
Salesforce,0.007457859289981356,Krux Digital,0.004642136904988395,US
Salesforce,0.007457859289981356,Salesforce,0.002815722384992961,US
Sina,0.007153456869982117,Sina,0.004642136904988395,CN
Sina,0.007153456869982117,Weibo,0.00460408660248849,CN
Tencent,0.007115406567482212,Tencent,0.007115406567482212,CN
Adjust,0.006772953844983068,Adjust,0.006772953844983068,US
Foursquare,0.006696853239983258,Foursquare,0.006696853239983258,US
Revmob,0.006202199307484495,Revmob,0.006202199307484495,DE
NetIQ,0.005707545374985731,Webtrends,0.005707545374985731,US
Double Verify,0.005517293862486207,Double Verify,0.005517293862486207,US
Limelight Networks,0.005174841139987063,Limelight Networks,0.005174841139987063,US
Integral Ad Science,0.0050606902324873484,Integral Ad Science,0.0050606902324873484,US
Vk,0.004832388417487919,Vk,0.004832388417487919,RU
Outbrain,0.004718237509988205,Outbrain,0.004718237509988205,US
Apteligent,0.0046801872074883,Apteligent,0.0046801872074883,US
Braze,0.004566036299988585,Braze,0.004566036299988585,US
