country,numAppsReferring,pctOfApps
US,26562,96.26
UK,1665,6.03
CN,1468,5.32
NO,850,3.08
DE,661,2.4
RU,286,1.04
SG,186,0.67
AT,75,0.27
JP,38,0.14
KR,39,0.14
CA,2,0.01
