country,numAppsReferring,pctOfApps
US,270153,92.53
NO,21238,7.27
CN,17341,5.94
DE,12445,4.26
SG,9944,3.41
RU,7754,2.66
UK,4162,1.43
KR,1386,0.47
JP,1241,0.43
AT,1097,0.38
DK,18,0.01
PL,43,0.01
AU,2,0
CA,2,0
ES,4,0
FR,3,0
IE,5,0
IL,12,0
IN,6,0
NL,6,0
RO,8,0
SE,3,0
