country,numAppsReferring,pctOfApps
US,148729,90.78
CN,11536,7.04
RU,4371,2.67
DE,4305,2.63
UK,3814,2.33
NO,2958,1.81
SG,2769,1.69
AT,727,0.44
KR,443,0.27
JP,93,0.06
FR,27,0.02
CA,14,0.01
DK,20,0.01
IN,11,0.01
PL,9,0.01
IE,4,0
IL,2,0
IT,2,0
NL,2,0
RO,1,0
SE,3,0
TW,1,0
