country,numAppsReferring,pctOfApps
US,70150,87.98
RU,1772,2.22
CN,1680,2.11
SG,1236,1.55
NO,1092,1.37
UK,941,1.18
DE,768,0.96
KR,321,0.4
AT,269,0.34
JP,103,0.13
CA,2,0
DK,1,0
ES,1,0
FR,1,0
IN,3,0
NL,2,0
PL,2,0
SE,1,0
