country,numAppsReferring,pctOfApps
US,8275,92.67
NO,911,10.2
CN,580,6.49
UK,536,6
SG,468,5.24
DE,264,2.96
RU,147,1.65
KR,110,1.23
AT,49,0.55
JP,7,0.08
RO,1,0.01
