country,numAppsReferring,pctOfApps
US,228650,86.19
CN,9578,3.61
RU,5290,1.99
DE,3705,1.4
SG,2866,1.08
NO,2288,0.86
UK,2144,0.81
KR,795,0.3
AT,748,0.28
JP,272,0.1
DK,27,0.01
IT,15,0.01
SE,18,0.01
CA,3,0
CR,2,0
ES,1,0
FR,8,0
IE,7,0
IL,5,0
IN,9,0
NL,4,0
PL,11,0
TW,2,0
