country,numAppsReferring,pctOfApps
US,24530,93.34
CN,1050,4
SG,816,3.1
NO,736,2.8
UK,475,1.81
AT,471,1.79
RU,431,1.64
DE,324,1.23
KR,53,0.2
PL,52,0.2
JP,29,0.11
CA,18,0.07
NL,8,0.03
DK,4,0.02
IE,2,0.01
RO,3,0.01
SE,2,0.01
AU,1,0
IL,1,0
IT,1,0
