country,numAppsReferring,pctOfApps
US,62370,95.81
CN,3825,5.88
RU,3726,5.72
DE,2212,3.4
AT,1197,1.84
NO,751,1.15
SG,620,0.95
UK,518,0.8
KR,72,0.11
CA,12,0.02
DK,5,0.01
JP,4,0.01
PL,7,0.01
RO,9,0.01
IL,2,0
SE,2,0
