country,numAppsReferring,pctOfApps
US,34225,86.35
CN,1973,4.98
RU,1259,3.18
SG,886,2.24
NO,761,1.92
UK,732,1.85
DE,353,0.89
KR,257,0.65
AT,170,0.43
JP,21,0.05
PL,8,0.02
DK,2,0.01
FR,2,0.01
CR,1,0
IL,1,0
