country,numAppsReferring,pctOfApps
US,24450,93.03
CN,546,2.08
RU,351,1.34
DE,93,0.35
PL,52,0.2
NL,8,0.03
DK,4,0.02
IE,2,0.01
SE,2,0.01
CA,1,0
IT,1,0
KR,1,0
