country,numAppsReferring,pctOfApps
US,62287,95.68
RU,3757,5.77
CN,3596,5.52
DE,2194,3.37
UK,1659,2.55
AT,1197,1.84
SG,620,0.95
SE,403,0.62
FI,325,0.5
DK,177,0.27
FR,104,0.16
KR,81,0.12
CA,12,0.02
JP,4,0.01
RO,9,0.01
NO,2,0
