country,numAppsReferring,pctOfApps
US,34102,86.04
CN,1760,4.44
RU,1302,3.28
UK,902,2.28
SG,881,2.22
DK,815,2.06
DE,337,0.85
KR,271,0.68
FI,187,0.47
AT,170,0.43
FR,106,0.27
SE,57,0.14
JP,23,0.06
NL,6,0.02
