country,numAppsReferring,pctOfApps
US,26546,96.21
UK,1677,6.08
CN,1360,4.93
FI,851,3.08
DE,660,2.39
RU,304,1.1
SG,186,0.67
DK,144,0.52
AT,75,0.27
JP,39,0.14
KR,39,0.14
FR,22,0.08
SE,6,0.02
