country,numAppsReferring,pctOfApps
US,227799,85.87
CN,6954,2.62
RU,4581,1.73
KR,134,0.05
DE,54,0.02
DK,23,0.01
IT,15,0.01
SE,18,0.01
?,2,0
CA,1,0
ES,1,0
FR,8,0
IE,7,0
NL,4,0
PL,11,0
UK,1,0
