country,numAppsReferring,pctOfApps
US,148380,90.57
CN,5091,3.11
RU,3515,2.15
FR,27,0.02
KR,34,0.02
CA,13,0.01
DE,15,0.01
DK,19,0.01
PL,9,0.01
IE,4,0
IT,2,0
NL,2,0
SE,3,0
