country,numAppsReferring,pctOfApps
US,268136,91.84
FI,25800,8.84
CN,16196,5.55
DE,12399,4.25
SG,9937,3.4
RU,8443,2.89
UK,4911,1.68
FR,2649,0.91
KR,1434,0.49
DK,1286,0.44
JP,1241,0.43
AT,1097,0.38
SE,340,0.12
AU,2,0
CA,1,0
ES,4,0
IE,5,0
IN,6,0
NL,3,0
NO,7,0
RO,8,0
