country,numAppsReferring,pctOfApps
US,69680,87.39
RU,2006,2.52
CN,1391,1.74
SG,1236,1.55
UK,1132,1.42
DE,763,0.96
FI,458,0.57
FR,362,0.45
KR,346,0.43
DK,293,0.37
AT,269,0.34
JP,103,0.13
SE,59,0.07
CA,2,0
ES,1,0
IE,1,0
IN,3,0
NL,2,0
