super_genre,company,n,pctOfApps,country,leaf_parent
Games & Entertainment,Nativex,79,0.01,US,Nativex
Games & Entertainment,Loopme,77,0.01,UK,Loopme
Games & Entertainment,Jumptap,73,0.01,,Jumptap
Games & Entertainment,Gravatar,70,0.01,US,Automattic
Games & Entertainment,Sharethrough,68,0.01,US,Sharethrough
Games & Entertainment,Adfox,66,0.01,RU,Adfox
Games & Entertainment,International Business Machines,64,0.01,US,International Business Machines
Games & Entertainment,Longtail Ad Solutions,63,0.01,US,Longtail Ad Solutions
Games & Entertainment,Adition Technologies,60,0.01,DE,Adition Technologies
Games & Entertainment,"Manage
",51,0.01,US,"Manage
"
Games & Entertainment,Adchina,49,0.01,CN,Adchina
Games & Entertainment,Aol,49,0.01,US,Verizon
Games & Entertainment,Blue Kai,47,0,US,Oracle
Games & Entertainment,Infonline,45,0,DE,Infonline
Games & Entertainment,Gemius,43,0,PL,Gemius
Games & Entertainment,Sogou,38,0,CN,Sogou
Games & Entertainment,Blinkx,32,0,US,Blinkx
Games & Entertainment,Accuweather,31,0,US,Accuweather
Games & Entertainment,Nativo,31,0,US,Nativo
Games & Entertainment,Nativo,31,0,US,Nativo
Games & Entertainment,Pingstart,31,0,US,Pingstart
Games & Entertainment,Radium One,31,0,US,RhythmOne
Games & Entertainment,Webtrends,31,0,US,NetIQ
Games & Entertainment,Webtrends,31,0,US,NetIQ
Games & Entertainment,Weather Underground,30,0,US,International Business Machines
Games & Entertainment,Taboola,27,0,US,Taboola
Games & Entertainment,Mozilla,26,0,US,Mozilla
Games & Entertainment,Otherlevels,26,0,US,Otherlevels
Games & Entertainment,Double Verify,24,0,US,Double Verify
Games & Entertainment,Miaozhen Systems,24,0,CN,Miaozhen Systems
Games & Entertainment,Teads,24,0,US,Teads
Games & Entertainment,Ask.com,22,0,US,IAC
Games & Entertainment,Lifestreet,22,0,US,Facebook
Games & Entertainment,Mailchimp,22,0,US,Mailchimp
Games & Entertainment,Mobvista,19,0,CN,Mobvista
Games & Entertainment,Outbrain,19,0,US,Outbrain
Games & Entertainment,Parsely,19,0,US,Parsely
Games & Entertainment,Adform,18,0,DK,Adform
Games & Entertainment,Adsame,18,0,CN,Adsame
Games & Entertainment,Jquery Foundation,16,0,US,Jquery Foundation
Games & Entertainment,Optimizely,15,0,US,Optimizely
Games & Entertainment,Truste,13,0,US,Truste
Games & Entertainment,Viglink,13,0,US,Viglink
Games & Entertainment,Exelate,12,0,US,Nielsen Online
Games & Entertainment,Mediaav,12,0,CN,Mediaav
Games & Entertainment,The Weather Company,11,0,US,International Business Machines
Games & Entertainment,Addthis,10,0,US,Oracle
Games & Entertainment,Iresearch Consulting Group,10,0,CN,Iresearch Consulting Group
Games & Entertainment,Rhythmone,10,0,US,Rhythmone
Games & Entertainment,Dictionary.com,9,0,US,IAC
Games & Entertainment,Jd.com,9,0,CN,Jd.com
Games & Entertainment,Medialytics,8,0,,Medialytics
Games & Entertainment,Mediametrie,8,0,RO,Mediametrie
Games & Entertainment,Cxense Asa,7,0,NO,Cxense Asa
Games & Entertainment,Hubspot,7,0,US,Hubspot
Games & Entertainment,Spot X Change,7,0,US,Spot X Change
Games & Entertainment,Stackpath,7,0,US,Stackpath
Games & Entertainment,About.com,6,0,US,IAC
Games & Entertainment,Microad,6,0,SG,Microad
Games & Entertainment,Iac,5,0,US,Iac
Games & Entertainment,Improve Digital,5,0,NL,Improve Digital
Games & Entertainment,Statcounter,5,0,IE,Statcounter
Games & Entertainment,Vizury,5,0,IN,Vizury
Games & Entertainment,Cbs Corporation,4,0,US,Cbs Corporation
Games & Entertainment,Ensighten,4,0,US,Ensighten
Games & Entertainment,Exoclick,4,0,ES,Exoclick
Games & Entertainment,Gfk,4,0,US,Gfk
Games & Entertainment,Tealium,4,0,US,Tealium
Games & Entertainment,Answers Corporation,3,0,US,AFCV Holdings
Games & Entertainment,Chartbeat,3,0,US,Chartbeat
Games & Entertainment,Criteo,3,0,FR,Criteo
Games & Entertainment,Tradedoubler,3,0,SE,Tradedoubler
Games & Entertainment,Admaster,2,0,CN,Admaster
Games & Entertainment,Effective Measure,2,0,AU,Effective Measure
Games & Entertainment,Sizmek,2,0,US,Sizmek
Games & Entertainment,Telerik,2,0,US,Progress Software
Games & Entertainment,The E.w. Scripps Company,2,0,US,The E.w. Scripps Company
Games & Entertainment,Tns,2,0,RU,Tns
Games & Entertainment,United Internet Media,2,0,DE,United Internet Media
Games & Entertainment,Weather.com.cn,2,0,CN,Weather.com.cn
Games & Entertainment,33Across,1,0,US,33Across
Games & Entertainment,Adelphic Inc,1,0,US,Adelphic Inc
Games & Entertainment,All Yes,1,0,CN,All Yes
Games & Entertainment,Awin1,1,0,UK,Awin1
Games & Entertainment,Beijing Emar Online Technology,1,0,CN,Beijing Emar Online Technology
Games & Entertainment,China Interactive,1,0,CN,China Interactive
Games & Entertainment,Deep Forest Media,1,0,US,Deep Forest Media
Games & Entertainment,Etracker,1,0,DE,Etracker
Games & Entertainment,Flashtalking,1,0,US,Encore Media Metrics
Games & Entertainment,Freewheel,1,0,US,Comcast
Games & Entertainment,Gravity Insights,1,0,US,Oath
Games & Entertainment,Hilton,1,0,US,Hilton
Games & Entertainment,Inform,1,0,US,Inform
Games & Entertainment,Intowow,1,0,US,AOL
Games & Entertainment,Iperceptions,1,0,US,Iperceptions
Games & Entertainment,Media Math,1,0,US,Media Math
Games & Entertainment,Medscape,1,0,US,Medscape
Games & Entertainment,Myspace,1,0,US,Specific Media
Games & Entertainment,Neustar,1,0,US,Neustar
Games & Entertainment,Nugg.ad,1,0,DE,Nugg.ad
Games & Entertainment,Pc Group,1,0,CN,Pc Group
Games & Entertainment,Pubmatic,1,0,US,Pubmatic
Games & Entertainment,Qualtrics,1,0,US,Qualtrics
Games & Entertainment,Readspeaker,1,0,NL,Readspeaker
Games & Entertainment,Rocketfuel,1,0,US,Rocketfuel
Games & Entertainment,Shanghai 2345 Network Technology,1,0,CN,Shanghai 2345 Network Technology
Games & Entertainment,Share This,1,0,US,Share This
Games & Entertainment,Soasta,1,0,US,Akamai
Games & Entertainment,Stickyads.tv,1,0,US,Comcast
Games & Entertainment,Stickyads.tv,1,0,US,Comcast
Games & Entertainment,Taplytics,1,0,,Taplytics
Games & Entertainment,Turn,1,0,US,Turn
Games & Entertainment,Verizon,1,0,US,Verizon
Games & Entertainment,Webklipper,1,0,IN,Webklipper
Games & Entertainment,Whos.amung.us,1,0,CA,Whos.amung.us
Games & Entertainment,Zedo,1,0,US,Zedo
