super_genre,company,n,pctOfApps,country,leaf_parent
Communication & Social,Verizon,6,0,US,Verizon
Communication & Social,Cbs Corporation,5,0,US,Cbs Corporation
Communication & Social,Hubspot,5,0,US,Hubspot
Communication & Social,Hyprmx,5,0,US,Hyprmx
Communication & Social,Jquery Foundation,5,0,US,Jquery Foundation
Communication & Social,Mologiq,5,0,,Mologiq
Communication & Social,Qualtrics,5,0,US,Qualtrics
Communication & Social,The Weather Company,5,0,US,International Business Machines
Communication & Social,Adition Technologies,4,0,DE,Adition Technologies
Communication & Social,Appnexus,4,0,US,Appnexus
Communication & Social,Sumo Logic,4,0,US,Sumo Logic
Communication & Social,Swrve,4,0,US,Swrve
Communication & Social,Voicefive,4,0,US,comScore
Communication & Social,Answers Corporation,3,0,US,AFCV Holdings
Communication & Social,Gigya,3,0,US,Gigya
Communication & Social,Iresearch Consulting Group,3,0,CN,Iresearch Consulting Group
Communication & Social,Lifestreet,3,0,US,Facebook
Communication & Social,Mobvista,3,0,CN,Mobvista
Communication & Social,Outbrain,3,0,US,Outbrain
Communication & Social,About.com,2,0,US,IAC
Communication & Social,Adform,2,0,DK,Adform
Communication & Social,Adsnative,2,0,US,Adsnative
Communication & Social,Alexa,2,0,US,Amazon
Communication & Social,Automattic,2,0,US,Automattic
Communication & Social,Blinkx,2,0,US,Blinkx
Communication & Social,Criteo,2,0,FR,Criteo
Communication & Social,Infonline,2,0,DE,Infonline
Communication & Social,Longtail Ad Solutions,2,0,US,Longtail Ad Solutions
Communication & Social,Mailchimp,2,0,US,Mailchimp
Communication & Social,Nativex,2,0,US,Nativex
Communication & Social,Shanghai 2345 Network Technology,2,0,CN,Shanghai 2345 Network Technology
Communication & Social,Sharethrough,2,0,US,Sharethrough
Communication & Social,Soasta,2,0,US,Akamai
Communication & Social,Sphere,2,0,US,Outbrain
Communication & Social,Superawesome,2,0,UK,Superawesome
Communication & Social,Tapsense,2,0,US,Tapsense
Communication & Social,The E.w. Scripps Company,2,0,US,The E.w. Scripps Company
Communication & Social,Truste,2,0,US,Truste
Communication & Social,Adfox,1,0,RU,Adfox
Communication & Social,Baifendian,1,0,CN,Baifendian
Communication & Social,Dataxu,1,0,US,Dataxu
Communication & Social,Drugsite Trust,1,0,US,Drugsite Trust
Communication & Social,Ebix,1,0,US,Ebix
Communication & Social,Evidon,1,0,US,Evidon
Communication & Social,Krux Digital,1,0,US,Krux Digital
Communication & Social,Loopme,1,0,UK,Loopme
Communication & Social,Medscape,1,0,US,Medscape
Communication & Social,Microad,1,0,SG,Microad
Communication & Social,Neustar,1,0,US,Neustar
Communication & Social,Optimizely,1,0,US,Optimizely
Communication & Social,Pc Group,1,0,CN,Pc Group
Communication & Social,Perion,1,0,US,Perion
Communication & Social,Popads,1,0,?,Popads
Communication & Social,Tealium,1,0,US,Tealium
Communication & Social,Weather.com.cn,1,0,CN,Weather.com.cn
Communication & Social,Webmd,1,0,US,Webmd
Communication & Social,Webtrends,1,0,US,NetIQ
Communication & Social,Webtrends,1,0,US,NetIQ
Communication & Social,Zedo,1,0,US,Zedo
